platform,"['Pramp', 'Legion Analytics', 'Luminist', 'Message.io', 'MineralSoft', 'OSVehicle', 'Perlara', 'PhysioHealth', 'WorldCover', 'iSono Health', 'mRelief', 'msg.ai', 'Give Campus', 'Livecoding.tv', 'OnboardIQ', 'SourceDNA', 'BillForward', 'One Codex', 'Roomstorm', 'Next Caller', 'Taplytics', 'Asseta', 'Bitnami', 'Experiment', 'Prizeo', 'Watsi', '9GAG', 'Airbrite', 'Canopy Labs', 'FlightFox', 'Plivo', 'Submittable', 'Virool', 'chute', 'DoubleRecall', 'Meteor', 'MobileWorks', 'PageLever', 'Sift Science', 'Tagstand', 'Vidyard', 'Chirply', 'Dr Chrono', 'Earbits', 'Hyperink', 'YouGotListings', 'AeroFS', 'Chart.io', 'Docker', 'Embedly', 'WePay', 'Frogmetrics', 'Insoshi', 'Joberator', 'InklingMarkets']"
marketplace,"['Cerplus', 'Kisan Network', 'LendEDU', 'Outschool', 'Stealth Worker', 'Branch8', 'Direct Match', 'KickPay', 'AptDeco', 'Boostable', 'Goldbely', 'Sponsorfied', 'Vayable', 'Science Exchange', 'CarWoo', 'AirBnb', 'Foodoro', 'InklingMarkets']"
on-demand,"['Castle', 'AirPair', 'Cambly']"
data,"['Pawprint', 'VQL', 'Birdly', 'Elucify', 'Index', 'Pave', 'Zenysis', 'Leada', 'Second Measure', 'Verge Genomics', 'CloudMedX', 'DroneBase', 'Kuhcoon', 'Pachyderm', 'Pomello', 'TaskPipes', 'Valor Water Analytics', 'Yhat', 'Bayes Impact', 'Flynn', 'Nightingale', 'One Codex', 'TicketLabs', '42', 'TrueVault', 'Panorama Education', 'Fivetran', 'Semantics3', 'Zapier', 'Citus Data', 'Comprehend Systems', 'MemSQL', 'AeroFS', 'Chart.io', 'Leftronic', 'DirectedEdge', 'Frogmetrics', 'FathomDB', 'Cloudant', 'Songkick', 'Clustrix']"
virtual reality,"['Ilium VR', 'Queen B Robotics', 'InsiteVR']"
robots,"['Gecko Robotics', 'Bistrobot']"
diagnostics,[]
payments,"['Paystack', 'Truebill', 'Tesorio', 'Razorpay', 'Swish', 'Submittable', 'Stripe', 'WePay']"
automated,"['Captain 401', 'Ironclad', 'Kuhcoon', 'Transcriptic']"
chatbot,"['Chatfuel', 'Message.io']"
